tool_id,corpse_id,next_corpse_id,percent_chance,reward_id,race_id
5544,5317,5518,9,5366,403
5544,4016,4017,7,5390,72
5544,4112,4113,7,5381,96
5544,4030,4031,8,5389,16
5544,4089,4090,6,5372,17
5544,5289,5290,4,3251,502
5544,4097,4098,6,5371,35
5544,4233,4234,8,5369,108
5544,4185,4186,10,5361,83
5544,5293,5294,5,5368,405
5544,5296,5297,7,5368,406
5544,5299,5300,10,5368,401
5544,4348,4349,4,5385,121
5544,4116,4117,7,5378,60
5544,5305,5306,6,5382,409
5544,5331,5332,9,5375,508
5544,4038,4039,7,5395,38
5544,4150,4151,9,5364,3
5544,4227,4228,11,5374,106
5544,4029,4066,9,5373,36
5544,3988,4003,6,5373,30
5544,4011,4012,4,5384,25
5544,4052,4053,6,5384,24
5544,4047,4048,6,5384,23
5544,4057,4058,8,5384,29
5544,4179,4180,8,5387,78
